Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0095-SHRI SHALIGRAM SHARMA SMARAK (P.G.) COLLEGE, RASANA (MEERUT)",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0097-SANT JOSEPHS GIRLS DEGREE COLLEGE, SARDHANA (MEERUT)",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0098-SANJAY GANDHI (P.G.) COLLEGE, SARURPUR KHURD (MEERUT)",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0098-SANJAY GANDHI (P.G.) COLLEGE, SARURPUR KHURD (MEERUT)",Meerut,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0108-SWAMI KALYAN DEV COLLEGE, HASTINAPUR (MEERUT)",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0114-BHAWANI DEGREE COLLEGE, SHAHAJAPUR, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0187-SWATANTRATA SENANI SHRI RAMPHOOL SINGH SMARAK KANYA MAHAVIDYALAYA, PHAALAWADA, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0203-R.K. COLLEGE, GARH ROAD, KITHORE, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0209-GYAN BHARTI INSTITUTE OF MANAGEMENT STUDIES, JEWARI, KHIRWA ROAD, KANKAR KHERA, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0209-GYAN BHARTI INSTITUTE OF MANAGEMENT STUDIES, JEWARI, KHIRWA ROAD, KANKAR KHERA, MEERUT",Meerut,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)",0210-S R S INSTITUTE OF EDUCATION & TECH. GEJHA MOHIUDDINPUR,Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0242-SAVITA DEVI MAHAVIDYALAYA, MOHIDDINPUR, DELHI ROAD, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0242-SAVITA DEVI MAHAVIDYALAYA, MOHIDDINPUR, DELHI ROAD, MEERUT",Meerut,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0253-VIDYOTAMA KANYA MAHAVIDYALAYA, CHINDORI ROAD, LAWAR, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0255-SHATAKSHI COLLEE OF EDUCATION, CHITVANA, SHERPUR, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0300-MEERUT COLLEGE FOR GIRLS EDUCATION, CHITWANA, SHERPUR, KILA PARICHATI GARH, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0351-GYAN SHREE COLLEGE OF PROFESSIONAL EDUCATION, BIJNOR ROAD, VILLAGE-SADARPUR, BEHSUMA, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0641-ELITE COLLEGE OF PROFESSIONAL & STUDIES, NH-58, DADRI, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0686-RUDRA INSTITUTE OF TECHNOLOGY, NH-119, MAWANA KHURD, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0722-BHAGWATI COLLEGE OF EDUCATION, SIVAYA, ROORKEE ROAD, MEERUT",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0722-BHAGWATI COLLEGE OF EDUCATION, SIVAYA, ROORKEE ROAD, MEERUT",Meerut,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0751-J.S.M. ACADEMYVILLAGE SALARPUR, MAWANA ROAD, MEERUT, 9897172299",Meerut,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0020-M.B. COLLEGE, DADRI (G.B. NAGAR)",Noida,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0038-SH. DRONA CHARYA DEGREE COLLEGE, KALANDI MARGE, DANKAUR, GAUTAMBUDH NAGAR",Noida,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0038-SH. DRONA CHARYA DEGREE COLLEGE, KALANDI MARGE, DANKAUR, GAUTAMBUDH NAGAR",Noida,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0125-SMT. SUKHBIRI DEVI GAYATRI DEVI MAHAVIDYALA, NIMKA, JEWAR (G.B. NAGAR)",Noida,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0146-COLLEGE OF EDUCATION, BILASPUR (GREATER NOIDA)",Noida,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0146-COLLEGE OF EDUCATION, BILASPUR (GREATER NOIDA)",Noida,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0224-PARSANDI DEVI COLLEGE OF MANAGEMENT & TECHNOLOGY, BILASHPUR, GREATER NOIDA",Noida,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
